Tracker3,1.753097,0,0,0,0,0,0
LeftHand,1.77972,-0.432188,1.344256,0.2567365,306.429,247.5567,1.817648
RightHand,1.77972,-0.5390296,1.143334,0.4080573,338.7714,230.6419,44.39991
VRCamera,1.77972,-0.2471296,1.653929,0.3806087,35.23648,252.8272,358.874
Tracker1,1.77972,0,0,0,0,0,0
Tracker2,1.77972,0,0,0,0,0,0
Tracker3,1.77972,0,0,0,0,0,0
LeftHand,1.816598,-0.4320676,1.344288,0.2571764,306.4198,247.6284,1.772063
RightHand,1.816598,-0.538646,1.143676,0.4081383,338.683,230.5458,44.43681
VRCamera,1.816598,-0.2469559,1.653523,0.3807164,35.39228,252.8427,358.8884
Tracker1,1.816598,0,0,0,0,0,0
Tracker2,1.816598,0,0,0,0,0,0
Tracker3,1.816598,0,0,0,0,0,0
LeftHand,1.84468,-0.4314392,1.3443,0.2574975,306.4076,247.6775,1.728364
RightHand,1.84468,-0.5377858,1.144282,0.4080685,338.5872,230.4375,44.43671
VRCamera,1.84468,-0.2466886,1.653186,0.3809338,35.57071,252.9019,358.9288
Tracker1,1.84468,0,0,0,0,0,0
Tracker2,1.84468,0,0,0,0,0,0
Tracker3,1.84468,0,0,0,0,0,0
LeftHand,1.870878,-0.4314692,1.344382,0.2577378,306.408,247.7325,1.649339
RightHand,1.870878,-0.5376272,1.144426,0.408176,338.4987,230.4344,44.4343
VRCamera,1.870878,-0.2465023,1.652281,0.3811449,35.87099,252.985,358.9929
Tracker1,1.870878,0,0,0,0,0,0
Tracker2,1.870878,0,0,0,0,0,0
Tracker3,1.870878,0,0,0,0,0,0
LeftHand,1.894403,-0.4313734,1.344112,0.2579801,306.4067,247.7776,1.630424
RightHand,1.894403,-0.5375774,1.144615,0.4083137,338.4198,230.4093,44.40178
VRCamera,1.894403,-0.2464901,1.651801,0.3812018,36.0007,253.0077,359.0011
Tracker1,1.894403,0,0,0,0,0,0
Tracker2,1.894403,0,0,0,0,0,0
Tracker3,1.894403,0,0,0,0,0,0
LeftHand,1.921371,-0.430866,1.344192,0.2582209,306.4016,247.8458,1.597862
RightHand,1.921371,-0.5368137,1.145146,0.4082425,338.3612,230.3156,44.37428
VRCamera,1.921371,-0.2464296,1.651055,0.3814045,36.29997,253.1051,359.0663
Tracker1,1.921371,0,0,0,0,0,0
Tracker2,1.921371,0,0,0,0,0,0
Tracker3,1.921371,0,0,0,0,0,0
LeftHand,1.948134,-0.4304974,1.344457,0.2583743,306.3657,247.8628,1.589241
RightHand,1.948134,-0.5359938,1.145593,0.4082681,338.1816,230.2339,44.37628
VRCamera,1.948134,-0.2462705,1.650263,0.38141,36.64697,253.1846,359.1241
Tracker1,1.948134,0,0,0,0,0,0
Tracker2,1.948134,0,0,0,0,0,0
Tracker3,1.948134,0,0,0,0,0,0
LeftHand,1.984079,-0.4305718,1.344429,0.2585567,306.3784,247.9024,1.577476
RightHand,1.984079,-0.5359461,1.145807,0.4085016,338.0736,230.2749,44.38306
VRCamera,1.984079,-0.2463864,1.649231,0.3815404,36.92839,253.2388,359.1027
Tracker1,1.984079,0,0,0,0,0,0
Tracker2,1.984079,0,0,0,0,0,0
Tracker3,1.984079,0,0,0,0,0,0
LeftHand,2.016263,-0.4301498,1.344468,0.2591322,306.3448,248.0624,1.446013
RightHand,2.016263,-0.5355697,1.145907,0.4087263,338.043,230.2482,44.28355
VRCamera,2.016263,-0.2469016,1.648114,0.3816796,37.23587,253.2797,359.1747
Tracker1,2.016263,0,0,0,0,0,0
Tracker2,2.016263,0,0,0,0,0,0
Tracker3,2.016263,0,0,0,0,0,0
LeftHand,2.044607,-0.4299505,1.344518,0.2592461,306.3982,248.1165,1.471259
RightHand,2.044607,-0.5350499,1.146188,0.4086351,337.9735,230.1598,44.3249
VRCamera,2.044607,-0.2468214,1.646679,0.3819053,37.72223,253.4055,359.2847
Tracker1,2.044607,0,0,0,0,0,0
Tracker2,2.044607,0,0,0,0,0,0
Tracker3,2.044607,0,0,0,0,0,0
LeftHand,2.072569,-0.4300649,1.344561,0.2593302,306.3936,248.1106,1.54508
RightHand,2.072569,-0.5348852,1.146231,0.4084174,337.876,230.0486,44.37141
VRCamera,2.072569,-0.2466404,1.644807,0.3821197,38.4698,253.5685,359.4091
Tracker1,2.072569,0,0,0,0,0,0
Tracker2,2.072569,0,0,0,0,0,0
Tracker3,2.072569,0,0,0,0,0,0
LeftHand,2.100033,-0.4300401,1.344793,0.2596117,306.3821,248.1694,1.551703
RightHand,2.100033,-0.5344312,1.146695,0.4084096,337.7396,229.9704,44.31492
VRCamera,2.100033,-0.2471506,1.64314,0.3820456,39.04148,253.6755,359.491
Tracker1,2.100033,0,0,0,0,0,0
Tracker2,2.100033,0,0,0,0,0,0
Tracker3,2.100033,0,0,0,0,0,0
LeftHand,2.136676,-0.429723,1.344769,0.259939,306.3484,248.2802,1.447687
RightHand,2.136676,-0.533978,1.146833,0.4083146,337.658,229.8546,44.22338
VRCamera,2.136676,-0.2474684,1.641557,0.3819973,39.62347,253.845,359.6846
Tracker1,2.136676,0,0,0,0,0,0
Tracker2,2.136676,0,0,0,0,0,0
Tracker3,2.136676,0,0,0,0,0,0
LeftHand,2.164877,-0.4296303,1.344917,0.2603297,306.3533,248.356,1.436973
RightHand,2.164877,-0.5334129,1.147923,0.4079838,337.4941,229.6841,44.24821
VRCamera,2.164877,-0.2481755,1.638901,0.3821081,40.50742,254.1362,359.9716
Tracker1,2.164877,0,0,0,0,0,0
Tracker2,2.164877,0,0,0,0,0,0
Tracker3,2.164877,0,0,0,0,0,0
LeftHand,2.192988,-0.4296718,1.345451,0.2607659,306.3266,248.3772,1.49715
RightHand,2.192988,-0.5330322,1.148523,0.4077592,337.3661,229.5169,44.27272
VRCamera,2.192988,-0.2489859,1.635767,0.3829714,41.52136,254.9716,0.645193
Tracker1,2.192988,0,0,0,0,0,0
Tracker2,2.192988,0,0,0,0,0,0
Tracker3,2.192988,0,0,0,0,0,0
LeftHand,2.2263,-0.4291413,1.345808,0.2610255,306.2895,248.4376,1.501027
RightHand,2.2263,-0.5325372,1.149521,0.4073501,337.1393,229.3862,44.4311
VRCamera,2.2263,-0.2501926,1.632211,0.3843881,42.6289,256.9891,2.188797
Tracker1,2.2263,0,0,0,0,0,0
Tracker2,2.2263,0,0,0,0,0,0
Tracker3,2.2263,0,0,0,0,0,0
LeftHand,2.259832,-0.4287391,1.346522,0.2612769,306.1653,248.4729,1.566609
RightHand,2.259832,-0.5324845,1.150614,0.407437,336.859,229.5003,44.28449
VRCamera,2.259832,-0.2514502,1.627953,0.3861667,43.97937,259.1113,3.690269
Tracker1,2.259832,0,0,0,0,0,0
Tracker2,2.259832,0,0,0,0,0,0
Tracker3,2.259832,0,0,0,0,0,0
LeftHand,2.301731,-0.4282572,1.347085,0.261855,305.9831,248.628,1.489659
RightHand,2.301731,-0.5319877,1.151635,0.4071456,336.9854,229.3661,43.14781
VRCamera,2.301731,-0.252332,1.623774,0.3875408,45.33606,260.5681,4.703384
Tracker1,2.301731,0,0,0,0,0,0
Tracker2,2.301731,0,0,0,0,0,0
Tracker3,2.301731,0,0,0,0,0,0
LeftHand,2.329772,-0.4274955,1.347603,0.2618166,305.8632,248.5259,1.607185
RightHand,2.329772,-0.531599,1.152292,0.406525,337.0638,229.1566,43.02319
VRCamera,2.329772,-0.2533584,1.619664,0.3888094,46.55389,261.8534,5.492236
Tracker1,2.329772,0,0,0,0,0,0
Tracker2,2.329772,0,0,0,0,0,0
Tracker3,2.329772,0,0,0,0,0,0
LeftHand,2.359963,-0.4270847,1.347534,0.2615969,305.8293,248.4045,1.709394
RightHand,2.359963,-0.5313971,1.153121,0.4059641,336.9088,228.8892,43.61428
VRCamera,2.359963,-0.2545323,1.615631,0.3899528,47.7773,262.7919,5.958004
Tracker1,2.359963,0,0,0,0,0,0
Tracker2,2.359963,0,0,0,0,0,0
Tracker3,2.359963,0,0,0,0,0,0
LeftHand,2.393031,-0.4265394,1.347418,0.2612897,305.7631,248.2808,1.788814
RightHand,2.393031,-0.5305994,1.154101,0.4055461,336.7867,228.6186,43.87971
VRCamera,2.393031,-0.2550412,1.612507,0.391111,48.81551,263.6686,6.27058
Tracker1,2.393031,0,0,0,0,0,0
Tracker2,2.393031,0,0,0,0,0,0
Tracker3,2.393031,0,0,0,0,0,0
LeftHand,2.426512,-0.4259272,1.347603,0.2608349,305.7531,248.2225,1.829022
RightHand,2.426512,-0.5301754,1.155124,0.405351,336.664,228.5345,43.91447
VRCamera,2.426512,-0.2557244,1.609967,0.3922332,49.6329,264.4849,6.595149
Tracker1,2.426512,0,0,0,0,0,0
Tracker2,2.426512,0,0,0,0,0,0
Tracker3,2.426512,0,0,0,0,0,0
LeftHand,2.46829,-0.4260499,1.347028,0.2604607,305.8083,248.1462,1.836331
RightHand,2.46829,-0.5306299,1.155729,0.4054531,336.5296,228.5093,44.04178
VRCamera,2.46829,-0.2562901,1.607992,0.3933713,50.10484,265.025,6.599822
Tracker1,2.46829,0,0,0,0,0,0
Tracker2,2.46829,0,0,0,0,0,0
Tracker3,2.46829,0,0,0,0,0,0
LeftHand,2.495404,-0.4258986,1.346562,0.2601239,305.9202,248.1626,1.861285
RightHand,2.495404,-0.5303719,1.155841,0.4057103,336.3964,228.4227,44.4739
VRCamera,2.495404,-0.2572024,1.606268,0.3945811,50.67959,265.954,6.552731
Tracker1,2.495404,0,0,0,0,0,0
Tracker2,2.495404,0,0,0,0,0,0
Tracker3,2.495404,0,0,0,0,0,0
LeftHand,2.526155,-0.4258759,1.345915,0.2596499,306.0608,248.1219,1.892985
RightHand,2.526155,-0.5299511,1.155929,0.405796,336.3781,228.3626,44.54253
VRCamera,2.526155,-0.2577335,1.604495,0.3968114,51.24991,267.2185,6.564706
Tracker1,2.526155,0,0,0,0,0,0
Tracker2,2.526155,0,0,0,0,0,0
Tracker3,2.526155,0,0,0,0,0,0
LeftHand,2.559845,-0.4262228,1.344693,0.2591292,306.261,248.0262,2.025029
RightHand,2.559845,-0.5298386,1.155374,0.4055237,336.4393,228.2749,44.49383
VRCamera,2.559845,-0.2582801,1.602827,0.3997132,51.75106,268.8915,7.004041
Tracker1,2.559845,0,0,0,0,0,0
Tracker2,2.559845,0,0,0,0,0,0
Tracker3,2.559845,0,0,0,0,0,0
LeftHand,2.593142,-0.4262974,1.344456,0.2587909,306.4016,247.9989,2.07207
RightHand,2.593142,-0.5292268,1.154719,0.4052346,336.5302,228.0438,44.58999
VRCamera,2.593142,-0.2589579,1.601749,0.4022462,52.00032,270.4,7.620574
Tracker1,2.593142,0,0,0,0,0,0
Tracker2,2.593142,0,0,0,0,0,0
Tracker3,2.593142,0,0,0,0,0,0
LeftHand,2.63473,-0.4264762,1.34389,0.2586012,306.5086,248.0609,2.064896
RightHand,2.63473,-0.5285318,1.15455,0.4046221,336.6031,227.7673,44.8574
VRCamera,2.63473,-0.2591655,1.601663,0.403727,51.97776,271.4258,8.138857
Tracker1,2.63473,0,0,0,0,0,0
Tracker2,2.63473,0,0,0,0,0,0
Tracker3,2.63473,0,0,0,0,0,0
LeftHand,2.659443,-0.4271829,1.34336,0.2585586,306.6911,248.1474,2.06573
RightHand,2.659443,-0.5285833,1.154867,0.4044155,336.5155,227.6478,44.95736
VRCamera,2.659443,-0.2598701,1.6018,0.4041303,51.76649,271.6475,8.404348
Tracker1,2.659443,0,0,0,0,0,0
Tracker2,2.659443,0,0,0,0,0,0
Tracker3,2.659443,0,0,0,0,0,0
LeftHand,2.692986,-0.4279795,1.343279,0.2588035,306.8747,248.1968,2.108179
RightHand,2.692986,-0.5284257,1.155249,0.4046646,336.415,227.7276,44.91022
